2024-05-28 14:54:43: Файл для хранения логов успешно создан
2024-05-28 14:54:43: Сканируем доступные акции Мосбиржи.
2024-06-06 15:38:44: Каталог 'folder_log' для хранения log-файлов и базы данных успешно создан
2024-06-06 15:38:44: logfile.log создан
2024-06-06 15:38:44: Сканируем доступные акции Мосбиржи.
2024-06-10 19:01:13: Обновляем базу данных.
2024-06-10 19:01:15: Ищу первую свечу по акции ABIO
2024-06-17 12:14:14: Обновляем базу данных.
2024-06-17 12:14:26: Обновляем базу данных.
2024-06-17 12:14:28: Ищу первую свечу по акции ABIO
2024-06-17 12:14:33: Ищу первую свечу по акции ABRD
2024-06-17 12:14:37: Ищу первую свечу по акции ACKO
2024-06-17 12:14:38: Ошибка получения даты первой свечи по акции ACKO
2024-06-17 12:14:38: Ищу первую свечу по акции AFKS
2024-06-17 12:14:42: Ищу первую свечу по акции AFLT
2024-06-17 12:14:48: Ищу первую свечу по акции AGRO
2024-06-17 12:14:53: Ищу первую свечу по акции AKRN
2024-06-17 12:15:00: Ищу первую свечу по акции ALRS
2024-06-17 12:15:06: Ищу первую свечу по акции AMEZ
2024-06-17 12:15:12: Ищу первую свечу по акции APTK
2024-06-17 12:15:17: Ищу первую свечу по акции AQUA
2024-06-17 12:15:23: Ищу первую свечу по акции ARSA
2024-06-17 12:15:27: Ищу первую свечу по акции ASSB
2024-06-17 12:15:32: Ищу первую свечу по акции ASTR
2024-06-17 12:15:38: Ищу первую свечу по акции AVAN
2024-06-17 12:15:41: Ищу первую свечу по акции BANE
2024-06-17 12:15:47: Ищу первую свечу по акции BANEP
2024-06-17 12:15:52: Ищу первую свечу по акции BELU
2024-06-17 12:15:56: Ищу первую свечу по акции BISVP
2024-06-17 12:16:02: Ищу первую свечу по акции BLNG
2024-06-17 12:16:07: Ищу первую свечу по акции BRZL
2024-06-17 12:16:12: Ищу первую свечу по акции BSPB
2024-06-17 12:16:17: Ищу первую свечу по акции BSPBP
2024-06-17 12:16:22: Ищу первую свечу по акции CARM
2024-06-17 12:16:26: Ищу первую свечу по акции CBOM
2024-06-17 12:16:32: Ищу первую свечу по акции CHGZ
2024-06-17 12:16:36: Ищу первую свечу по акции CHKZ
2024-06-17 12:16:41: Ищу первую свечу по акции CHMF
2024-06-17 12:16:45: Ищу первую свечу по акции CHMK
2024-06-17 12:16:50: Ищу первую свечу по акции CIAN
2024-06-17 12:16:55: Ищу первую свечу по акции CNTL
2024-06-17 12:16:59: Ищу первую свечу по акции CNTLP
2024-06-17 12:17:04: Ищу первую свечу по акции DELI
2024-06-17 12:17:10: Ищу первую свечу по акции DIAS
2024-06-17 12:17:15: Ищу первую свечу по акции DIOD
2024-06-17 12:17:21: Ищу первую свечу по акции DVEC
2024-06-17 12:17:25: Ищу первую свечу по акции DZRD
2024-06-17 12:17:30: Ищу первую свечу по акции DZRDP
2024-06-17 12:17:35: Ищу первую свечу по акции EELT
2024-06-17 12:17:40: Ищу первую свечу по акции ELFV
2024-06-17 12:17:44: Ищу первую свечу по акции ELMT
2024-06-17 12:17:46: Ищу первую свечу по акции ENPG
2024-06-17 12:17:51: Ищу первую свечу по акции ETLN
2024-06-17 12:17:57: Ищу первую свечу по акции EUTR
2024-06-17 12:18:01: Ищу первую свечу по акции FEES
2024-06-17 12:18:05: Ищу первую свечу по акции FESH
2024-06-17 12:18:10: Ищу первую свечу по акции FIVE
2024-06-17 12:18:15: Ищу первую свечу по акции FIXP
2024-06-17 12:18:20: Ищу первую свечу по акции FLOT
2024-06-17 12:18:24: Ищу первую свечу по акции GAZC
2024-06-17 12:18:26: Ищу первую свечу по акции GAZP
2024-06-17 12:18:31: Ищу первую свечу по акции GAZS
2024-06-17 12:18:32: Ищу первую свечу по акции GAZT
2024-06-17 12:18:33: Ищу первую свечу по акции GCHE
2024-06-17 12:18:39: Ищу первую свечу по акции GECO
2024-06-17 12:18:44: Ищу первую свечу по акции GEMA
2024-06-17 12:18:49: Ищу первую свечу по акции GEMC
2024-06-17 12:18:54: Ищу первую свечу по акции GLTR
2024-06-17 12:18:58: Ищу первую свечу по акции GMKN
2024-06-17 12:19:03: Ищу первую свечу по акции GTRK
2024-06-17 12:19:08: Ищу первую свечу по акции HHRU
2024-06-17 12:19:12: Ищу первую свечу по акции HIMCP
2024-06-17 12:19:18: Ищу первую свечу по акции HNFG
2024-06-17 12:19:22: Ищу первую свечу по акции HYDR
2024-06-17 12:19:28: Ищу первую свечу по акции IGST
2024-06-17 12:19:34: Ищу первую свечу по акции IGSTP
2024-06-17 12:19:39: Ищу первую свечу по акции INGR
2024-06-17 12:19:44: Ищу первую свечу по акции IRAO
2024-06-17 12:19:49: Ищу первую свечу по акции IRKT
2024-06-17 12:19:54: Ищу первую свечу по акции IVAT
2024-06-17 12:19:57: Ищу первую свечу по акции JNOS
2024-06-17 12:20:02: Ищу первую свечу по акции JNOSP
2024-06-17 12:20:07: Ищу первую свечу по акции KAZT
2024-06-17 12:20:13: Ищу первую свечу по акции KAZTP
2024-06-17 12:20:18: Ищу первую свечу по акции KBSB
2024-06-17 12:20:23: Ищу первую свечу по акции KCHE
2024-06-17 12:20:29: Ищу первую свечу по акции KCHEP
2024-06-17 12:20:34: Ищу первую свечу по акции KGKC
2024-06-17 12:20:38: Ищу первую свечу по акции KGKCP
2024-06-17 12:20:43: Ищу первую свечу по акции KLSB
2024-06-17 12:20:50: Ищу первую свечу по акции KLVZ
2024-06-17 12:20:54: Ищу первую свечу по акции KMAZ
2024-06-17 12:20:59: Ищу первую свечу по акции KMEZ
2024-06-17 12:21:05: Ищу первую свечу по акции KOGK
2024-06-17 12:21:10: Ищу первую свечу по акции KRKN
2024-06-17 12:21:16: Ищу первую свечу по акции KRKNP
2024-06-17 12:21:22: Ищу первую свечу по акции KRKOP
2024-06-17 12:21:26: Ищу первую свечу по акции KROT
2024-06-17 12:21:31: Ищу первую свечу по акции KROTP
2024-06-17 12:21:38: Ищу первую свечу по акции KRSB
